,listingTitle,listingPrice,listingTypeID,regionName1,regionName2,regionName3,latitude,longitude,listing_title,listing_type,description,energy_efficiency,Área Bruta Privativa m2,Área Bruta m2,Área Total do Lote m2,Área Útil m2,Quartos,Ano de construção,Piso,WCs,Elevador,Estacionamento
583,122461086-252,125000.0,1,Viseu,Tondela,Campo de Besteiros,40.5649948120117,-8.14133644104004,122461086-252,Apartamento,"Descrição   Excelente apartamento T2, no primeiro andar, situado em Campo de Besteiros, a 7 km de Tondela. Este apartamento para além da sua boa construção, já sofreu obras de restauro e modernização. Cozinha equipada com placa, forno, frigorifico, máquina de lavar roupa e louça. A sala tem boas áreas e ainda uma excelente varanda com umas vistas desafogadas. Os quartos dispõem de roupeiros embutidos. Janelas em alumínio com vidros duplos. Ar condicionado nos quartos e sala. Este imóvel inclui ainda uma garagem privada, e alpendre com espaço para um carro. Tem um terreno para cultivo ou jardim.  Venha conhecer esta oportunidade.",C,89,--,--,185,2,1995,1º Andar,1,Não,2 Lug.
584,122461086-251,40000.0,21,Viseu,Tondela,Canas de Santa Maria,40.5294579838801,-8.05795109204653,122461086-251,Terreno,"Descrição   Excelente terreno para venda. Situa-se a 2km da cidade de Tondela, junto à nacional 2. Área de 5 900m2. Poderá fazer aqui uma pequena quintinha! Sitio bastante sossegado! Vistas desafogadas para a serra do Caramulo Aguardo por si!",NC,--,--,5 900,--,--,,--,0,Não,Não
585,122461094-207,145000.0,13,Viseu,Tondela,Vilar de Besteiros e Mosteiro de Fráguas,40.5741307461883,-8.06059029790595,122461094-207,Quinta,"Descrição   EXCELENTE OPORTUNIDADE DE INVESTIMENTO EM MOSTEIRO DE FRÁGUAS! Situa-se em Mosteiro de Fráguas a 5 minutos da cidade de Tondela,a 20 minutos da cidade de Viseu a 5 minutos da zona indústrial do Lagedo. Quinta é composta por três moradias independentes; 1ª Moradia princípal é composta por cozinha c/lareira, sala de estar, sala de visitas, quatro quartos, quarto de banho c/base de duche, acesso às àguas furtadas através de escadas e poderá fazer aproveitamento para dois quartos e uma sala. 2ª Moradia rés do chão é composta por cozinha c/lareira, sala de jantar, um quarto, um quarto de banho, espaço de arrumação que poderá ser feita recuperação para se fazer um bom salão pois possuí paredes em granito. 3ª Moradia térrea é composta por sala de estar, sala de jantar e um quarto espaçoso, garagem para três ou mais carros. Possuí três poços, um Olival e vários anexos p/arrumações, forno. Tudo isto inserido num terreno com área de 6 196 m2 todo vedado. Não perca esta excelente oportunidade de investimento! Visite!",F,163,396,6 196,396,6,1938,--,4,Não,3 Lug.
586,124901005-1592,49000.0,11,Viseu,Mangualde,Abrunhosa-a-Velha,40.5797961,-7.6335834,124901005-1592,Moradia,"Descrição   🌴 Oásis Tranquilo em Abrunhosa-a-Velha, Mangualde Explore este refúgio encantador, a moradia T3 de dois pisos, situada no sereno ambiente de Abrunhosa-a-Velha, Mangualde. Com uma distribuição inteligente e anexos, esta casa oferece uma experiência de vida única. 🏡 Características da Moradia:  R/C Versátil: Lojas espaçosas para arrumos e anexos, proporcionando flexibilidade para diferentes necessidades. Espaço Acolhedor: Primeiro andar com cozinha, 3 quartos, 1 casa de banho e sala, criando um ambiente acolhedor para toda a família.  🌳 Exterior Deslumbrante:  Terreno Amplo: 4840m2 de terreno, proporcionando privacidade e espaço para explorar. Recursos Naturais: Poço com mina, assegurando um abastecimento de água confiável.  📍 Localização Estratégica:  Proximidade a Mangualde e A25: Apenas a 20 minutos de Mangualde e 6KM do nó da A25, garantindo fácil acessibilidade. Curta Distância de Fornos de Algodres: A 15 minutos de Fornos de Algodres, uma localização central para conveniência adicional.  🏝️ Descubra o Seu Refúgio em Abrunhosa-a-Velha:Não perca a oportunidade de chamar esta moradia de casa. Marque já a sua visita e mergulhe na tranquilidade deste recanto especial, a meio caminho entre Mangualde e Fornos de Algodres. 🏠🌿",F,61,122,4 901,61,3,1961,--,1,Não,Não
587,124231384-20,1050000.0,13,Viseu,São João da Pesqueira,Castanheiro do Sul,41.12017,-7.50562,124231384-20,Quinta,"Descrição   Bem-vindo à quinta situada em São João da Pesqueira, no coração da região vinícola do Douro. Esta propriedade impressionante é um testemunho da rica tradição vitivinícola da área, sendo reconhecida como o maior produtor de vinhos DOC Douro. Os vinhedos meticulosamente cultivados se estendem pelas encostas ondulantes, abraçando a paisagem exuberante que caracteriza a região do Douro. As uvas são cuidadosamente selecionadas e colhidas à mão para garantir a qualidade excepcional que tornou esta quinta renomada. Os vinhos produzidos aqui refletem a essência única do terroir do Douro, capturando a harmonia entre o solo característico, o clima favorável e a paixão dedicada dos viticultores. Além da produção vinícola de excelência, a quinta também se destaca na produção de azeite de alta qualidade. Os olivais adornam as colinas, oferecendo azeites que expressam a riqueza do solo e o clima singular da região. A vila portuguesa de São João da Pesqueira pertence ao distrito de Viseu, Região Norte e sub-região do Douro, e está situada a 850 metros de altitude. É a vila mais antiga de Portugal. Sede de município, a vila de São João da Pesqueira dista 160 km do Porto, 100 km de Viseu e 70 km de Vila Real. Faz fronteira com os concelhos durienses de Tabuaço (oeste), Sernancelhe e Penedono (sul), Vila Nova de Foz Coa (leste), e Alijó, Sabrosa e Carrazeda de Ansiães a norte, já na outra margem do rio Douro. Excelente oportunidade! Quinta com 28 hectares: - Vinha +/- 12.20ha - Olival +/- 7.50ha (contém várias laranjeiras dispersas) - Horta +/- 0.30ha - Mata e floresta +/- 7ha - Restantes áreas espaços circundantes às casas e armazéns. Casa com 2 andares e 5 divisões, tendo duas no primeiro e três no segundo, um armazém, um lagar e azenha de fazer azeite. Terreno de horta, mata de carrascos, vinha e pastagem, com 2 amendoeiras, 1350 oliveiras, 15 sobreiros, 2 figueiras e 10 laranjeiras. Para moradia própria ou investimento.  Possibilidade de comprar outra Quinta (Valor = €200.000,00): - Área Total: 8 ha  - Vinha velha: 0,62 ha (Não mecanizada)  Castas: T. Roriz, T. Barroca e T. Franca    Marque já a sua visita!",NC,280 000,--,280 000,280 000,2,1937,--,0,Não,Não
588,126021008-185,12000.0,6,Viseu,Viseu,Viseu,40.6469231,-7.9119663,126021008-185,Garagem,"Descrição   Cansado(a) de procurar estacionamento na zona da Qta. do Galo? Procura local para guardar viaturas, móveis ou outros artigos? Boa oportunidade também para investidores pois garante rentabilidade de cerca de 9%!!! Esta pode ser a solução! Garagem em zona de comércio e serviços. Junto aos correios e à CGD.  Portão exterior automático.  Nota: encontra-se arrendada até Maio de 2024",NC,28,28,--,--,--,,C/V,0,Não,Não
589,126021008-184,8500.0,6,Viseu,Viseu,Viseu,40.6469230651855,-7.91196632385254,126021008-184,Garagem,"Descrição   Cansado(a) de procurar estacionamento na zona da Qta. do Galo? Procura local para guardar viaturas, móveis ou outros artigos? Esta pode ser a solução! Imóvel também adequado para investidores - 11% de rentabilidade! Garagem em zona de comércio e serviços. Junto aos correios e à CGD.  Portão exterior automático.  Encontra-se também para arrendamento: consultar www.remax.pt/126021008-167",NC,18,--,--,--,--,,--,0,Não,Não
590,124911005-1634,13500.0,21,Viseu,Oliveira de Frades,"Oliveira de Frades, Souto de Lafões e Sejães",40.736577629791,-8.18704511263548,124911005-1634,Terreno,"Descrição   Terreno com área total de 750m2, localizado em Sejães, na margem da Barragem.  O terreno carateriza-se por ter dois socalcos e confronta diretamente com zona ribeirinha de Sejães. Ideal para quem procura um espaço para lazer e para desfrutar dos dias de calor que se avizinham.  Beneficia de um fantástico contacto com a Natureza, repleto de tranquilidade e privacidade!  Encontra-se a apenas 2 minutos das piscinas municipais e a 5 minutos da vila de Oliveira de Frades!   Agende visita!",NC,--,--,750,--,--,,--,0,Não,Não
591,126021010-127,-1.0,12,Viseu,Viseu,Viseu,40.6570102002756,-7.91250048840346,126021010-127,Prédio,"Descrição   Prédio em regime de propriedade horizontal, de características arquitetónicas diferenciadas, em zona premiun da cidade de Viseu, com zona comercial, de serviços e lazer no seu enquadramento. Viseu tem vindo a ganhar expressão no panorama das cidades portuguesas com maior atratividade, estando a hora e meia do aeroporto Sá Carneiro no Porto e a duas horas e meia do aeroporto da Portela em Lisboa. Estas são boas razões para investir na cidade de Viseu, apostando num edifício icónico e versátil, transformando-o em habitação de luxo, com área comercial para marcas de luxo, ou diversas outras afetações. O prédio é composto por oito frações. Duas frações afetas a habitação, uma a serviços e cinco frações afetas a comércio, com diferentes classificações energéticas. O prédio faz gaveto com a Rua Gaspar Barreiros e o Largo Humberto Delgado. Quatro das cinco frações comerciais e a fração de serviços, encontram-se arrendadas. A parte habitacional é composta por moradia T9 ao nível do R/c, 1º e 2º andar, com entrada pela Rua Gaspar Barreiros e por apartamento T5 ao nível do 2º andar, com entrada pelo Largo Humberto Delgado. É possível a ligação entre os dois edifícios, podendo ser-lhe dada uma funcionalidade diferente da atual. O pátio exterior confere ao R/c um potencial de utilização por explorar. As águas furtadas, dado o seu pé-direito, são suscetíveis de licenciamento para fins habitacionais, incrementando imenso a área bruta privativa. Invista em Viseu! Invista no Genuíno! Invista com Classe!",B-,780,1 092,321,780,--,1938,--,0,Não,Não
592,122031084-335,285000.0,11,Viseu,Viseu,Viseu,40.603844480167,-7.95368308821126,122031084-335,Moradia,"Descrição   Moradia em construção, utilizando um sistema construtivo ""Amigo do Ambiente"", uma vez que utiliza maioritariamente materiais reciclado e recicláveis. Construir casas mais sustentáveis está no topo das prioridades cá dentro e lá fora. Isto porque as habitações são responsáveis por uma boa fatia do consumo de energia, contribuindo para as alterações climáticas e também têm impacto direto na saúde e qualidade de vida das famílias.  Este tipo de construção tem como foco principal o retorno do investimento do investimento da habitação a partir do primeiro dia em que utilizamos o imóvel e não apenas no ato possível da futura venda. Trata-se de uma moradia T3 térrea, com cozinha e sala em open-space, com acesso a um terraço, dois quartos com roupeiros e uma suite com closet. Fica equipada com instalação de ventilação mecânica centralizada, equipada com sistema de duplo fluxo, túnel canadiano para arrefecimento passivo e pré-aquecimento do fluxo do ar. O aquecimento será com a VMC com caixa hidráulica e fica com pré-instalação de ar condicionado.   Sistema fotovoltaico equipado com inversor de 6kw, bateria de 10Kw/hora de capacidade e 14 painéis solares fotovoltaicos. O valor anunciado inclui a moradia chave na mão, pronta a habitar, com muros e portões exteriores. * Previsão de entrega de 6 meses após formalização de contrato de compra e venda.",NC,142,146,1 541,146,3,2024,--,0,Não,1 Lug.
593,126021037-28,60000.0,21,Viseu,Viseu,Barreiros e Cepões,40.7488031293209,-7.85869799041798,126021037-28,Terreno,"Descrição   Situado na EN 323, a escassos 9 Km's da cidade de Viseu, este terreno, de morfologia plana, apresenta-se com uma frente publica de 43m, uma área de 1.257m2 e uma profundidade aproximada de 32m ao centro do terreno. Classificado em Espaço Urbano de Baixa Densidade (EUBD), segundo o novo PDM de Viseu, aprovado em Janeiro de 2023, está contemplado com infra-estruturas de água, electricidade e telecomunicações. Local de absoluta tranquilidade a poucos minutos da cidade, exposição solar e luminosidade excelentes, garantem momentos únicos, tranquilos, para uma vida de sucesso.Inspirado nestas características, sugerimos duas soluções de edificação, porque uma casa não é um lugar, é um sentimento!",NC,--,--,1 257,--,--,,--,0,Não,Não
594,124541207-79,92000.0,10,Viseu,Lamego,Lamego (Almacave e Sé),41.1088804,-7.8074048,124541207-79,Loja,"Descrição   POSSIBILIDADE DE FINANCIAMENTO ATÉ 100%   Características do Imóvel: Loja comercial, froção ""E"", composta por zona ampla, espaço de arrecadação e instalações sanitárias. Area: 162 m2 WC: 1 Informação adicional: Inserida em edificação habitacional e comercial, em regime de propriedade horizontal, constituída por rés-do-chão destinado a lojas e très pisos destinados a apartamentos. Zona envolvente: A envolvente próxima caracteriza-se pela existência de edificios unifamiliares com 1 ou 2 pisos acima do solo e edificios multifamiliares e comerciais com 4 ou 5 pisos.",E,162,--,--,--,--,,1º Andar,0,Não,Não
595,124541207-77,112500.0,10,Viseu,Carregal do Sal,"Currelos, Papízios e Sobral",40.4277182,-8.0128905,124541207-77,Loja,"Descrição   POSSIBILIDADE DE FINANCIAMENTO ATÉ 💯% Características do Imóvel: Loja comercial, composta por espaça ampla, 3 gabinetes, 3 zonas técnicas, copo, 2 instalações sanitárias, 1 sala de cofre. Area: 176 m2 WC: 2 Informação adicional: Possui dois cofres abertos e vazios, que vão ficar no imóvel, sem ocréscimo do preço e sem o BST garantir o seu bom funcionamento. Zona envolvente: O imóvel localiza-se no centro de Carregal do Sal, em zona residencial central com envolvente direta caracterizada por edificios multifamiliares. As acessibilidades locais são boos, assim como o acesso a comércio e serviços.",B-,176,--,--,--,--,,R/C,2,Não,Não
596,124791026-12,1750000.0,13,Viseu,Armamar,Vila Seca e Santo Adrião,41.1374679721631,-7.63758447313002,124791026-12,Quinta,"Descrição   Quinta da CARVALHOSA   Grande oportunidade de negócio!   Quinta situada entre a Régua e o Pinhão, no coração da Região demarcada do Douro.   Constituída unicamente por vinhedos de letra A, os melhores do sistema de classificação Português.   A quinta é constituída por 8 hectares com vinhas ao alto, com as castas Tinta Barroca, Tinta Roriz, Touriga Nacional e Touriga França.   A idade média das cepas situa-se entre os 20 e os 40 anos, com uma produção anual de aproximadamente 40.000 garrafas.   A quinta possui habitação com 4 suites, cozinha, escritório wc serviço, cave particular, aquecimento de piso radiante e AC, 2 furos de água.   Possuí também uma adega totalmente equipada para produção, engarrafamento e rotulagem.    Cave para estágio de vinhos em barricas e armazém.   Produz as suas próprias marcas de vinho, Campo Ardosa e o Ardosino.",D,284,--,83 800,--,--,1983,--,0,Não,Não
597,123601151-216,185000.0,11,Viseu,Mortágua,Marmeleira,40.36917349014868,-8.24801776278402,123601151-216,Moradia,"Descrição   Moradia T5 na Marmeleira, Mortágua, dividida em 2 habitações distintas que podem ser utilizadas em comum ou de forma independente. R/Ch (completamente remodelado):  Salão amplo com estores elétricos e ar condicionado; Cozinha equipada com placa elétrica, forno e exaustor; Quarto com estores elétricos; Quarto; Casa de banho completa, com poliban e janela; Arrumos;    1º andar:  Hall; Cozinha com fogão e lareira com recuperador; Marquise e acesso ao exterior; Despensa com acesso ao sótão; Sala comum com ar condicionado e com varanda; Casa de banho completa com poliban; 3 Quartos;  Wc de serviço com janela;     Ambos os andares possuem aquecimento central que é realizado através de caldeira a lenha.    ZONAS COMUNS:  Cave para garagem; Terraço com churrasqueira; Arrumos com cozinha de forno, wc e duas divisões; Terreno nas traseiras com árvores de fruto. Parcela de terreno em frente à casa.    A localidade da Marmeleira fica a cerca de 7km de Mortágua, sendo servida de transportes públicos, café, igreja, lar de 3ª idade, fábrica de alumínios e outros serviços. Aproveite esta excelente oportunidade quer para habitação própria, quer para investimento. Marque já a sua visita!",D,260,431,1 347,260,5,1979,--,4,Não,3 Lug.
598,124911043-36,155000.0,11,Viseu,Vouzela,Alcofra,40.6785821965821,-8.13748588019134,124911043-36,Moradia,"Descrição   Fantástica moradia T3 localizada em Alcofra, Concelho de Vouzela.   Procura viver tranquilo, rodeado de natureza, mas com todas os comércios e serviços a poucos minutos de distância?  Então esta é a moradia ideal para si.  Constituída por: Rés-do-chão: cozinha mobilada e equipada com salamandra e acesso a uma espaçosa marquise com vistas magnificas para a serra do caramulo, casa de banho e sala com recuperador de calor. 1º andar: 3 quartos existindo no principal um anexo que pode transformar em closet ou em escritório e uma casa de banho. No exterior encontra um logradouro que poderá servir de estacionamento para as viaturas e ainda um anexo de arrumos com espaço para um carro. Esta moradia é de construção moderna e com dimensões de compartimentos bastante generosas, contando ainda com uma excelente exposição solar.  Esta aldeia é caracterizada pelas suas excelentes vistas para a serra do caramulo, conferindo-lhe sossego e tranquilidade. Nesta aldeia poderá contar com farmácia, escola primária, restaurante, mercearias, cafés e um ponto de venda de jornais e revistas. A localização é tão central e interessante tanto a nível do contacto com a natureza, lazer, profissional, comercial e ensino.  Localiza-se a apenas:*1hora do aeroporto do Porto *40 minutos da praia*30 minutos da A1 *35 minutos de Tondela e Viseu *15 minutos de Oliveira de Frades e Vouzela *10 minutos da serra do Caramulo *7 minutos da A25   Venha conhecer esta fantástica moradia!!",D,160,280,227,280,3,2001,--,2,Não,1 Lug.
599,123601016-339,79000.0,21,Viseu,Carregal do Sal,Oliveira do Conde,40.4488983,-7.9726367,123601016-339,Terreno,"Descrição   Terreno rústico com 12.330m2 localizado na Rua do Chafariz, Vila Meã, Oliveira do Conde, concelho de Carregal do Sal.  Localizado numa região com vistas privilegiadas para a Serra, deste terreno fazem parte três construções / palheiras, duas recuperadas e uma em ruína, que oferecem um potencial de reabilitação e reconstrução.  Situado no meio da natureza, o terreno oferece tranquilidade e privacidade, sendo ideal para quem busca um refúgio longe da agitação da cidade.  Com uma grande área, o terreno proporciona diversas possibilidades de uso, seja para um espaço de lazer ou mesmo uma pequena propriedade agrícola.  As Palheiras podem ser renovadas e adaptadas de acordo com as necessidades e preferências do comprador. Com a devida intervenção, é possível transformar essas estruturas abandonadas em espaços acolhedores, preservando ao mesmo tempo o aspecto rústico e tradicional.  Além disso, a localização privilegiada do terreno permite desfrutar de vistas deslumbrantes para a Serra da Estrela.  A proximidade com a Serra oferece também oportunidades para atividades ao ar livre, como caminhadas, trilhas e escaladas.  A região é conhecida por suas belezas naturais e pelo ecossistema preservado, o que atrai amantes da natureza de todas as partes.  O terreno tem cerca de 180 metros de frente de estrada e possui infraestruturas básicas como electricidade, 2 ramais de água, saneamento e telecomunicações.",NC,12 330,12 330,12 330,12 330,--,,--,0,Não,Não
600,122031155-38,35000.0,11,Viseu,Nelas,Canas de Senhorim,40.499461717703,-7.90011956988779,122031155-38,Moradia,"Descrição   Moradia T5 para venda, situada no centro de Canas de Senhorim, próximo de comércio e serviços. É constituida por três pisos, os quais se encontram distribuídos da seguinte forma:  Rés-do-chão - arrumos e casa de banho; Primeiro andar - sala, cozinha e dois quartos;  Segundo andar - quarto com varanda e arrumos.  Venha visitar!",F,51,--,--,45,3,1977,--,0,Não,Não
601,122031155-37,117000.0,1,Viseu,Nelas,Canas de Senhorim,40.499461717703,-7.90011956988779,122031155-37,Apartamento,"Descrição   Apartamento T3 para venda, localizado perto de comércio e serviços, nomeadamente junta de freguesia, escola C+S, piscinas públicas e parque infantil. Situa-se ao nível do rés do chão e é constituído por:  três quartos, um deles com casa de banho privativa; Cozinha com marquise e despensa; Sala com boa dimensão; Casa de banho.  Possui garagem. Venha visitar!",F,120,137,--,108,3,2003,R/C,0,Sim,1 Lug.
602,126111024-10,450000.0,12,Viseu,Mortágua,"Mortágua, Vale de Remígio, Cortegaça e Almaça",40.4015745782714,-8.23007973008577,126111024-10,Prédio,"Descrição   Prédio para venda. Prédio em propriedade total com andares ou divisões suscetíveis de utilização independente distribuída por 3 pisos com uma área total de terreno de 875 m2 com uma área de implantação do edifício de 210 m2, área bruta privativa total de 540 m2 e área de terreno integrantes das frações de 126 m2. Possui 4 espaços independentes que geram rentabilidade em arrendamento, dividindo-se em: - 1 espaço de comércio destinado a estabelecimento de bebidas e pequenas refeições com área bruta privativa de 184 m2. 38m2 de área bruta dependente e 56 m2 de área de terreno integrante. - 1 espaço destinado a habitação de tipologia T3 com 184 m2 de área bruta privativa e 30 m2 de área de terreno integrante. - 1 espaço afeto a habitação de tipologia T1 com área bruta privativa de 91,10 m2 e 20 m2 de área de terreno integrante. - 1 espaço afeto a habitação de tipologia T1 com 81 m2 de área bruta privativa. Este imóvel está estrategicamente localizado na encantadora Vila de Mortágua, proporcionando fácil acesso a serviços essenciais, áreas de lazer e uma comunidade acolhedora. A localização oferece uma combinação harmoniosa entre a tranquilidade do ambiente rural e a conveniência urbana. O imóvel é uma propriedade versátil que combina espaços residenciais e comerciais, atendendo às diversas necessidades dos seus ocupantes. Com uma arquitetura funcional, destaca-se pela sua estética contemporânea e design atraente. O edifício conta com apartamentos espaçosos e bem iluminados, proporcionando um ambiente agradável para os seus moradores. Os interiores são cuidadosamente projetados para otimizar o conforto e a funcionalidade. Cada apartamento possui: Quartos bem dimensionados. Cozinhas modernas, totalmente equipadas. Salas de estar aconchegantes. No rés do chão do edifício, o espaço comercial está disponível para atender às necessidades da comunidade local. Essas áreas proporcionam uma oportunidade única para empreendedores e empresários estabelecerem os seus negócios. Além disso, o imóvel oferece comodidades adicionais para melhorar a qualidade de vida dos residentes, pois dispõe de lugar de estacionamento seguro para moradores e clientes. Este imóvel em Mortágua é uma excelente escolha para aqueles que buscam um estilo de vida moderno e conveniente. A sua combinação única de espaços residenciais e comerciais reflete a visão contemporânea de um ambiente comunitário integrado. Agende uma visita para explorar todas as características que esta propriedade tem a oferecer!",D,540,--,875,540,--,2019,--,0,Não,3 Lug.
603,124911005-1633,96000.0,11,Viseu,São Pedro do Sul,Sul,40.8584583994744,-8.03136642893991,124911005-1633,Moradia,"Descrição   Simpática moradia T5 localizada no Ervilhal, São Pedro do Sul. A moradia distribui-se por dois pisos da seguinte forma:  Rés do chão: zona de arrumos e encontramos também um anexo composto por cozinha mobilada, sala de estar/jantar, quarto de banho e dois quartos. Primeiro andar: sala de estar com varanda, três quartos, escritório e quarto de banho.  Tendo o lote a área total de 324m2m, este carateriza-se ter espaço de lazer com churrasqueira. Nas suas proximidades, encontramos a Serra do Macário, Aldeia da Pena, Praia de Reriz, entre outros locais atrativos, onde poderá relaxar e aproveitar com a família e amigos. A sua localização é excelente para quem pretende morar numa aldeia pacata e com proximidade à natureza. Situa-se a cerca de 20 minutos da cidade de São Pedro do Sul, onde encontra todas as comodidas e diversos setores de serviços e comércio.   Marque já a sua visita!",F,83,--,324,183,5,2002,--,2,Não,3 Lug.
604,124911004-649,288000.0,11,Viseu,Oliveira de Frades,"Oliveira de Frades, Souto de Lafões e Sejães",40.715696097,-8.18043141965232,124911004-649,Moradia,"Descrição   Moradia T3 para venda em Vilarinho - Oliveira de Frades. Excelente moradia térrea, seminova localizada a dois minutos do centro da vila de Oliveira de Frades e zona industrial. Esta fantástica casa encontra-se numa zona privilegiada, com vistas desafogadas e ótima exposição solar. Ótimos acessos. Encontra-se dividida da seguinte forma: hall de entrada, sala de estar e jantar, cozinha mobilada e equipada, três quartos sendo um deles suite e possui um generoso closet, dois quartos de banho, garagem para dois carros com portão automático, lavandaria. Esta casa prima por ter em todos os quartos roupeiros embutidos, no corredor uma linha de armários para arrumação, aquecimento central a lenha, painéis solares, vidros duplos com corte térmico e janelas com oscilobatente, as divisões principais têm acesso direto ao exterior. Esta é a moradia que todos sonham ter, venha visitar e comprovar toda esta qualidade.",A+,223,--,925,316,3,2023,--,3,Não,2 Lug.
605,124911004-648,82500.0,11,Viseu,Vouzela,Vouzela e Paços de Vilharigues,40.7192419394853,-8.13126201071315,124911004-648,Moradia,"Descrição   Moradia T3 à venda em Paços de Vilharigues.  Apresento-lhe uma simpática moradia em pedra para recuperar, situada em Paços de Vilharigues.  Encontra-se dividida por dois pisos, sendo que no rés do chão temos lojas de arrumos e no primeiro piso encontramos uma cozinha, uma sala e três quartos. No exterior temos um pequeno logradouro.  Venha visitar e sonhar com a sua casa de sonho.",F,85,--,--,170,3,1972,--,0,Não,1 Lug.
606,124911005-1632,28950.0,11,Viseu,Vouzela,Ventosa,40.7096183288229,-8.11284286958685,124911005-1632,Moradia,"Descrição   Moradia T2 para renovação localizada em Ventosa, Vouzela. Esta moradia é constituída por quatro divisões, nomeadamente, cozinha, sala e dois quartos. No exterior, possui um generoso logradouro onde pode criar uma zona de lazer com barbecue. Com umas obras de ampliação e renovação, esta moradia, poderá ficar o seu refúgio de fim de semana ou mesmo a sua habitação permanente. Nas suas proximidades, encontramos a praia fluvial de Ventosa e o miradouro do Gamardo, onde pode desfrutar de umas vistas desafogadas e panorâmicas sobre a Vila de Vouzela. Além disso, este espaço é ideal para convívios dada a sua tranquilidade, privacidade e bem-estar. Localiza-se a 10 minutos da vila de Vouzela e a 30 minutos da cidade de Viseu. Marque a sua visita!",NC,40,--,--,103,2,1942,--,0,Sim,1 Lug.
607,124901005-1591,14900.0,21,Viseu,Santa Comba Dão,São João de Areias,40.3937104,-8.0773453,124901005-1591,Terreno,"Descrição   Descubra o cenário perfeito para construir a casa dos seus sonhos! 🏡 Este terreno de 2400 m², estrategicamente localizado em Vila Dianteira, São João de Areias, é uma oportunidade única. Apenas a 10 minutos de Tábua e Santa Comba Dão, 30 minutos de Viseu e 45 minutos de Coimbra, oferece conveniência e acessibilidade. São João de Areias, uma encantadora aldeia com raízes históricas profundas, promete uma vida tranquila e autêntica. 🌳 Explore suas tradições, cultura e hospitalidade, capturadas pela essência única retratada no artigo da Wikipedia sobre a aldeia. Imagine-se fazendo parte dessa comunidade, construindo sua moradia em um local que une o passado e o presente de forma harmoniosa. Além disso, garantimos que sua visão se concretize em conformidade com as leis de construção do município de Santa Comba Dão. 🏗 Tranquilidade e segurança são elementos fundamentais para realizar seus planos de construção. Não perca a chance de investir em um terreno que não só oferece uma excelente localização, mas também abre as portas para uma vida cheia de possibilidades. Contate-nos agora e comece a transformar seus sonhos em realidade!",NC,--,--,2 400,--,--,,--,--,Não,Não
608,124901005-1590,72890.0,11,Viseu,Santa Comba Dão,Santa Comba Dão e Couto do Mosteiro,40.4248759,-8.1447977,124901005-1590,Moradia,"Descrição   Bem-vindo à sua futura casa em Vila de Barba, na encantadora freguesia de Couto De Mosteiro, em Santa Comba Dão. 🏡 Características:- 4 quartos espaçosos- Escritório para trabalho ou estudo 📚- Cozinha acolhedora com lareira 🔥- Sala de estar e sala de jantar ideais para convívios 🍽- 1 wc e 1 casa de banho para conveniência total 🚿 Garagem e Tradição:- Garagem espaçosa para 3/4 carros 🚗- Lagar de vinho, adicionando um toque de tradição 🍇🍷 Localização Estratégica:- 5 minutos de Santa Comba 🕒- 10 minutos de Tondela 🕙- 15 minutos de Mortágua 🕒- 30 minutos de Viseu 🕞- 45 minutos de Coimbra 🕟 Descubra o equilíbrio perfeito entre conforto e acessibilidade nesta moradia única. Sua nova vida aguarda em Vila de Barba. 🌟",F,150,--,--,150,4,1999,--,2,Não,3 Lug.
609,124901005-1589,19990.0,11,Viseu,Nelas,Canas de Senhorim,40.5029581,-7.9343216,124901005-1589,Moradia,"Descrição   🏡 Descubra o Potencial Desta Casa para Reconstrução em Vale de Medeiros, Canas de Senhorim! 🛠️ Reconstrua o Seu Lar dos Sonhos Esta casa de dois pisos oferece uma excelente oportunidade para transformá-la no seu lar dos sonhos. Com espaço para reconstrução e personalização, você pode criar uma casa que atenda às suas necessidades e gostos. 🏢 Lojas no Rés-do-Chão para Arrumos No rés-do-chão, encontrará lojas ideais para arrumos, proporcionando espaço adicional para armazenamento ou até mesmo para iniciar o seu próprio negócio. 🏡 Espaço Generoso no 1⁰ Andar No primeiro andar, uma cozinha, sala de refeições, sala de estar e dois quartos esperam por uma transformação à medida dos seus sonhos. Este espaço amplo oferece inúmeras possibilidades de design e decoração. 🌳 Logradouro com Poço e Anexos O logradouro inclui um poço e dois anexos, oferecendo espaço exterior e a possibilidade de construir a sua própria garagem. Desfrute da tranquilidade rural e do espaço ao ar livre nesta pitoresca região. 🚗 Proximidade às Principais Comodidades Localizada a apenas 3km do IC12, 5km de Nelas e a 25km de Viseu, esta casa oferece a harmonia perfeita entre a tranquilidade rural e a proximidade às comodidades urbanas. 🏡 Não Deixe Escapar Esta Oportunidade Única Não perca a oportunidade de criar o lar perfeito nesta encantadora região. Entre em contacto connosco hoje mesmo para saber mais e começar a transformar esta casa numa verdadeira obra-prima! 🌟🏡",E,154,--,178,154,2,1939,--,1,Não,Não
