,Price,Square Meters,Address,Bedrooms,Bathrooms,Listing Type
1119,225 000 €,84,"Azambuja, Alcoentre",3,2,Moradia
1120,86 000 €,118,"Sintra, Agualva e Mira-Sintra",--,0,Escritório
1121,218 000 €,37,"Lisboa, Penha de França",1,1,Apartamento
1122,200 000 €,81,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",3,2,Apartamento
1123,750 000 €,90,"Oeiras, Oeiras e São Julião da Barra, Paço de Arcos e Caxias",2,1,Apartamento
1124,420 000 €,165,"Cascais, São Domingos de Rana",3,2,Apartamento
1125,130 000 €,110,"Lisboa, Alvalade",0,0,Armazém
1126,255 000 €,106,"Sintra, Queluz e Belas",2,2,Apartamento
1127,490 000 €,260,"Torres Vedras, Ponte do Rol",4,4,Moradia
1128,300 000 €,71,"Lisboa, São Domingos de Benfica",3,1,Apartamento
1129,115 000 €,--,"Sintra, Rio de Mouro",--,0,Terreno
1130,160 000 €,95,"Loures, Loures",--,2,Loja
1131,375 000 €,61,"Lisboa, São Domingos de Benfica",2,1,Apartamento
1132,120 000 €,--,"Sintra, Casal de Cambra",--,0,Terreno
1133,195 000 €,66,"Lisboa, Santa Maria Maior",--,1,Loja
1134,98 000 €,330,"Odivelas, Póvoa de Santo Adrião e Olival Basto",--,1,Trespasse
1135,110 000 €,67,"Vila Franca de Xira, Vila Franca de Xira",2,--,Apartamento
1136,preço sob consulta,883,"Lisboa, Belém",5,4,Moradia
1137,190 000 €,89,"Sintra, Agualva e Mira-Sintra",3,2,Apartamento
1138,1 155 000 €,--,"Cascais, São Domingos de Rana",--,0,Terreno
1139,265 000 €,79,"Cascais, São Domingos de Rana",2,1,Apartamento
1140,279 000 €,55,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,1,Apartamento
1141,345 000 €,118,"Cascais, São Domingos de Rana",3,2,Moradia
1142,319 000 €,60,"Cascais, Cascais e Estoril",3,1,Apartamento
1143,51 200 €,68,"Azambuja, Aveiras de Cima",1,1,Moradia
1144,1 075 000 €,140,"Lisboa, Estrela",3,3,Apartamento
1145,485 000 €,160,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",4,3,Apartamento
1146,378 000 €,64,"Lisboa, Lumiar",1,1,Apartamento
1147,199 000 €,85,"Sintra, Cacém e São Marcos",3,2,Apartamento
1148,1 190 000 €,540,"Odivelas, Pontinha e Famões",3,5,Moradia
1149,400 000 €,55,"Lisboa, Belém",2,1,Apartamento
1150,315 000 €,100,"Sintra, Massamá e Monte Abraão",2,2,Apartamento
1151,60 000 €,94,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",0,1,Loja
1152,160 000 €,--,"Lourinhã, Santa Bárbara",--,0,Terreno
1153,98 000 €,139,"Vila Franca de Xira, Vila Franca de Xira",0,1,Armazém
1154,415 000 €,65,"Lisboa, Avenidas Novas",1,1,Apartamento
1155,99 000 €,60,"Mafra, Encarnação",2,0,Moradia
1156,140 000 €,--,"Vila Franca de Xira, Vialonga",--,--,Terreno
