,Price,Square Meters,Address,Bedrooms,Bathrooms
958,176 000 €,75,"Vila Franca de Xira, Castanheira do Ribatejo e Cachoeiras",2,1
959,350 000 €,3840,"Mafra, Encarnação",--,--
960,120 000 €,34,"Amadora, Águas Livres",1,1
961,200 000 €,72,"Loures, Santo António dos Cavaleiros e Frielas",2,1
962,450 000 €,145,"Coimbra, Santa Clara e Castelo Viegas",4,3
963,275 000 €,23,"Lisboa, Arroios",--,0
964,399 750 €,145,"Cascais, Carcavelos e Parede",4,3
965,2 250 000 €,577,"Cascais, Carcavelos e Parede",11,0
966,225 000 €,165,"Torres Vedras, Carvoeira e Carmões",3,3
967,849 000 €,90,"Lisboa, Misericórdia",2,2
968,220 000 €,253,"Vila Franca de Xira, Castanheira do Ribatejo e Cachoeiras",8,4
969,295 000 €,89,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",3,2
970,445 000 €,99,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",2,2
971,430 000 €,220,"Torres Vedras, Torres Vedras (São Pedro, Santiago, Santa Maria do Castelo e São Miguel) e Matacães",5,5
972,259 500 €,100,"Vila Franca de Xira, Alhandra, São João dos Montes e Calhandriz",2,2
973,530 000 €,184,"Sintra, Algueirão-Mem Martins",5,3
974,999 000 €,187,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",4,3
975,285 000 €,118,"Sintra, Casal de Cambra",3,2
976,759 000 €,177,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",4,5
977,156 000 €,94,"Vila Franca de Xira, Castanheira do Ribatejo e Cachoeiras",3,0
978,89 000 €,82,"Sintra, Algueirão-Mem Martins",0,2
979,495 000 €,67,"Lisboa, São Vicente",2,1
980,88 000 €,--,"Alenquer, Alenquer (Santo Estêvão e Triana)",--,--
981,165 000 €,78,"Sintra, Agualva e Mira-Sintra",3,1
982,240 000 €,97,"Sintra, Algueirão-Mem Martins",2,1
983,429 900 €,133,"Vila Franca de Xira, Alverca do Ribatejo e Sobralinho",3,--
984,200 000 €,91,"Sintra, Casal de Cambra",2,--
985,649 500 €,122,"Lisboa, Parque das Nações",3,2
986,650 000 €,113,"Lisboa, Alvalade",3,2
987,599 000 €,162,"Lisboa, Estrela",4,2
988,340 000 €,155,"Sintra, Massamá e Monte Abraão",3,2
989,440 000 €,117,"Cascais, Cascais e Estoril",3,2
990,3 125 000 €,215,"Cascais, Cascais e Estoril",6,5
991,1 350 000 €,--,"Sintra, Colares",--,0
992,66 000 €,82,"Oeiras, Carnaxide e Queijas",--,1
993,58 000 €,56,"Amadora, Águas Livres",--,0
994,225 000 €,45,"Lisboa, Misericórdia",1,1
995,155 000 €,99,"Alenquer, Carregado e Cadafais",3,2
996,90 000 €,--,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",--,0
997,395 000 €,70,"Cascais, Cascais e Estoril",1,1
998,299 500 €,37,"Cascais, Cascais e Estoril",1,1
999,225 000 €,140,"Sintra, Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",3,1
1000,149 900 €,421,"Loures, Santa Iria de Azoia, São João da Talha e Bobadela",--,--
1001,158 000 €,645,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",--,0
1002,175 000 €,71,"Sintra, Agualva e Mira-Sintra",2,1
1003,2 300 000 €,186,"Cascais, Cascais e Estoril",3,3
1004,450 000 €,129,"Lisboa, Areeiro",3,2
1005,240 000 €,113,"Amadora, Águas Livres",3,2
1006,245 000 €,142,"Sintra, Massamá e Monte Abraão",5,4
1007,235 000 €,104,"Sintra, Massamá e Monte Abraão",3,2
1008,355 000 €,60,"Lisboa, Alcântara",2,2
1009,800 000 €,240,"Lisboa, Areeiro",5,4
1010,325 000 €,151,"Azambuja, Azambuja",4,3
1011,450 000 €,100,"Lisboa, Benfica",2,2
1012,85 000 €,--,"Sintra, Rio de Mouro",--,0
1013,205 000 €,68,"Sintra, Casal de Cambra",1,1
1014,399 000 €,82,"Sintra, Almargem do Bispo, Pêro Pinheiro e Montelavar",3,1
1015,500 000 €,95,"Lisboa, Misericórdia",2,1
1016,382 000 €,166,"Oeiras, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",3,2
1017,130 000 €,56,"Sintra, Massamá e Monte Abraão",1,1
1018,165 000 €,66,"Sintra, Massamá e Monte Abraão",2,1
1019,325 000 €,126,"Azambuja, Azambuja",4,3
1020,180 000 €,80,"Sintra, Agualva e Mira-Sintra",2,0
1021,450 000 €,327,"Amadora, Venteira",--,6
1022,505 000 €,153,"Lisboa, São Domingos de Benfica",3,2
