Address,Price,Property Type,Rooms,Bathrooms,Square Meters
"Alvalade, Lisboa",195.000 €,Apartamento,0,1,33
"São Domingos de Rana, Lisboa",750.000 €,Moradia Geminada,3,3,197
"São Domingos de Rana, Lisboa",750.000 €,Moradia Geminada,3,3,197
"Campolide, Lisboa",390.000 €,Apartamento,2,1,66
"Damaia de Cima, Amadora",179.000 €,Apartamento,2,65,1
"Odivelas, Odivelas",415.000 €,Apartamento,3,2,111
"Cacém e São Marcos, Lisboa",169.000 €,Apartamento,2,1,70
"Santo António, Lisboa",490.000 €,Apartamento,0,1,48
"Lumiar, Lisboa",410.000 €,Apartamento,2,1,75
"Águas Livres, Lisboa",114.900 €,Apartamento,0,30,5
"Olivais Sul, Lisboa",1.225.000 €,Duplex,4,4,367
"Massamá e Monte Abraão, Lisboa",235.000 €,Apartamento,3,2,109
"Tapada das Mercês, Sintra",199.900 €,Apartamento,2,1,91
"Lisboa, Odivelas",252.500 €,Apartamento,3,2,69
"Parque das Nações - Expo Sul, Lisboa",429.900 €,Apartamento,1,1,76
"Monte Abraão, Sintra",135.000 €,Apartamento,1,1,42
"Queluz e Belas, Lisboa",195.000 €,Apartamento,3,2,73
"Campo de Ourique, Lisboa",290.000 €,Apartamento,1,1,40
"Ramada e Caneças, Lisboa",349.000 €,Apartamento,2,2,81
"Pontinha e Famões, Lisboa, Odivelas",940.000 €,Moradia,4,5,238
"Estrela, Lisboa",120.000 €,Apartamento,0,1,27
"Oeiras e São Julião da Barra, Paço de Arcos e Caxias, Lisboa",250.000 €,Duplex,1,1,68
"Real Clube Massamá, Sintra",275.000 €,Apartamento,3,2,96
"Carcavelos e Parede, Lisboa",590.000 €,Apartamento,3,2,98
"Ajuda, Lisboa",310.000 €,Apartamento,1,1,54
"Belém, Lisboa",Desde720.000 €,Apartamentos,1-4,2-4,76-170
"Avenidas Novas, Lisboa",1.349.000 €,Apartamento,4,3,196
"Parque das Nações - Expo Sul, Lisboa",620.000 €,Apartamento,2,2,137
"Falagueira, Amadora",249.900 €,Apartamento,3,91,2
"Codivel, Odivelas",Sob Consulta,Apartamento,2,1,64
"Olivais Sul, Lisboa",235.000 €,Apartamento,3,1,66
"Centro de Carnaxide, Oeiras",270.000 €,Apartamento,3,2,95
"Monte Estoril, Cascais",325.000 €,Apartamento,2,1,75
"Santa Bárbara, Lisboa",439.000 €,Moradia,4,3,157
"Moscavide, Loures",259.000 €,Apartamento,3,1,93
"Parque das Nações - Expo Sul, Lisboa",2.000.000 €,Duplex,4,4,251
"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",250.000 €,Apartamento,2,3,65
"Santo António Cavaleiros, Loures",220.000 €,Apartamento,2,1,53
"Bairro de S. José, Cascais",370.000 €,Moradia em Banda,3,3,76
